transaction_id,date,vendor_id,account_id,amount,category,description
321,2026-06-30,2,1,370.65,Opex,Invoice payment
322,2026-06-10,8,1,571.83,Opex,Invoice payment
323,2026-07-27,7,2,269.65,Opex,Invoice payment
324,2026-08-24,1,2,558.45,Capex,Invoice payment
325,2026-08-29,7,5,515.38,Capex,Invoice payment
326,2026-06-22,1,5,477.88,Capex,Invoice payment
327,2026-06-22,6,5,738.24,Opex,Invoice payment
328,2026-06-04,1,4,406.67,Opex,Invoice payment
329,2026-06-13,4,3,809.04,Capex,Invoice payment
330,2026-07-22,6,4,466.19,Opex,Invoice payment
331,2026-07-21,6,3,308.45,Opex,Invoice payment
332,2026-07-05,4,4,510.49,Opex,Invoice payment
333,2026-06-29,8,4,338.56,Opex,Invoice payment
334,2026-08-16,7,4,387.24,Opex,Invoice payment
335,2026-07-13,2,4,559.55,Capex,Invoice payment
336,2026-08-14,6,1,583.34,Opex,Invoice payment
337,2026-08-28,6,4,406.67,Opex,Invoice payment
338,2026-06-30,3,2,648.11,Opex,Invoice payment
339,2026-06-19,6,4,673.63,Opex,Invoice payment
340,2026-08-27,8,3,715.45,Opex,Invoice payment
341,2026-07-29,7,5,579.41,Opex,Invoice payment
342,2026-06-27,7,2,704.51,Opex,Invoice payment
343,2026-07-28,6,5,217.88,Opex,Invoice payment
344,2026-07-18,3,5,452.31,Opex,Invoice payment
345,2026-08-23,7,2,369.95,Capex,Invoice payment
346,2026-06-24,3,3,517.88,Opex,Invoice payment
347,2026-08-31,5,3,414.28,Opex,Invoice payment
348,2026-08-26,3,4,475.08,Opex,Invoice payment
349,2026-06-17,3,4,782.33,Opex,Invoice payment
350,2026-06-16,2,5,474.54,Opex,Invoice payment
351,2026-07-20,8,2,562.07,Opex,Invoice payment
352,2026-06-05,2,3,465.16,Opex,Invoice payment
353,2026-06-28,1,3,511.36,Opex,Invoice payment
354,2026-07-11,8,5,500.9,Opex,Invoice payment
355,2026-08-29,5,2,567.25,Opex,Invoice payment
356,2026-08-31,4,3,674.8,Opex,Invoice payment
357,2026-06-14,6,1,747.11,Opex,Invoice payment
358,2026-08-22,4,5,546.44,Opex,Invoice payment
359,2026-06-09,2,2,588.43,Opex,Invoice payment
360,2026-08-08,6,2,327.37,Opex,Invoice payment
361,2026-08-17,2,3,486.82,Opex,Invoice payment
362,2026-08-21,5,3,641.04,Capex,Invoice payment
363,2026-06-21,8,5,629.9,Opex,Invoice payment
364,2026-08-22,8,3,531.74,Opex,Invoice payment
365,2026-06-11,3,3,632.96,Capex,Invoice payment
366,2026-07-18,7,1,573.62,Opex,Invoice payment
367,2026-07-14,5,1,680.05,Opex,Invoice payment
368,2026-06-30,4,2,543.4,Capex,Invoice payment
369,2026-06-03,2,5,446.65,Opex,Invoice payment
370,2026-08-11,4,5,550.38,Opex,Invoice payment
371,2026-07-01,6,4,60.41,Opex,Invoice payment
372,2026-07-31,8,4,557.43,Opex,Invoice payment
373,2026-07-08,1,2,10.0,Opex,Invoice payment
374,2026-07-05,6,1,241.48,Capex,Invoice payment
375,2026-08-21,7,1,567.77,Capex,Invoice payment
376,2026-06-09,8,2,571.63,Opex,Invoice payment
377,2026-08-07,4,2,325.64,Opex,Invoice payment
378,2026-08-08,1,1,393.18,Opex,Invoice payment
379,2026-07-05,3,2,705.58,Capex,Invoice payment
380,2026-06-25,7,1,427.4,Opex,Invoice payment
381,2026-06-01,8,4,836.44,Capex,Invoice payment
382,2026-08-26,6,5,499.71,Opex,Invoice payment
383,2026-08-27,1,4,561.21,Opex,Invoice payment
384,2026-06-23,1,3,742.53,Opex,Invoice payment
385,2026-06-03,4,3,519.65,Opex,Invoice payment
386,2026-06-12,5,2,349.65,Opex,Invoice payment
387,2026-06-07,1,1,483.54,Opex,Invoice payment
388,2026-08-16,6,3,494.66,Capex,Invoice payment
389,2026-08-22,5,3,295.29,Opex,Invoice payment
390,2026-06-15,1,1,461.63,Opex,Invoice payment
391,2026-08-08,1,3,388.67,Opex,Invoice payment
392,2026-06-17,4,2,638.65,Opex,Invoice payment
393,2026-07-04,6,1,505.19,Capex,Invoice payment
394,2026-07-26,7,4,457.58,Opex,Invoice payment
395,2026-08-06,4,3,484.07,Opex,Invoice payment
396,2026-08-20,3,4,533.47,Opex,Invoice payment
397,2026-06-05,8,4,592.52,Capex,Invoice payment
398,2026-06-19,4,5,350.04,Opex,Invoice payment
399,2026-06-26,3,5,343.76,Capex,Invoice payment
400,2026-06-29,4,4,665.7,Opex,Invoice payment
